,TestName,Repetition,# Players,# States,# Symbols,String Length,Virtual Machine,Time(s),Player-0 Data Sent(MB),Global Data Sent(MB),Result,Sum of Inputs
0,Variable,0,2,8,8,32,./semi2k-party.x,0.411866,16.5534,33.1068,True,104
1,Variable,1,2,8,8,32,./semi2k-party.x,0.426323,16.5534,33.1068,True,104
2,Variable,2,2,8,8,32,./semi2k-party.x,0.41936,16.5534,33.1068,True,104
3,Variable,0,3,8,8,32,./semi2k-party.x,0.608777,33.1066,99.1204,True,108
4,Variable,1,3,8,8,32,./semi2k-party.x,0.737955,33.1066,99.1204,True,108
5,Variable,2,3,8,8,32,./semi2k-party.x,0.643254,33.1066,99.1204,True,108
6,Variable,0,4,8,8,32,./semi2k-party.x,0.888563,49.6598,198.041,True,110
7,Variable,1,4,8,8,32,./semi2k-party.x,0.955415,49.6598,198.041,True,110
8,Variable,2,4,8,8,32,./semi2k-party.x,1.01855,49.6598,198.041,True,110
9,Variable,0,5,8,8,32,./semi2k-party.x,1.58623,66.213,329.868,False,115
10,Variable,1,5,8,8,32,./semi2k-party.x,1.28836,66.213,329.868,False,115
11,Variable,2,5,8,8,32,./semi2k-party.x,1.34863,66.213,329.868,False,115
12,Variable,0,6,8,8,32,./semi2k-party.x,1.88078,82.7662,494.602,True,110
13,Variable,1,6,8,8,32,./semi2k-party.x,1.85822,82.7662,494.602,True,110
14,Variable,2,6,8,8,32,./semi2k-party.x,1.70438,82.7662,494.602,True,110
15,Variable,0,7,8,8,32,./semi2k-party.x,2.47695,99.3193,692.243,True,134
16,Variable,1,7,8,8,32,./semi2k-party.x,2.43469,99.3193,692.243,True,134
17,Variable,2,7,8,8,32,./semi2k-party.x,2.3527,99.3193,692.243,True,134
18,Variable,0,8,8,8,32,./semi2k-party.x,3.05931,115.872,922.791,False,105
19,Variable,1,8,8,8,32,./semi2k-party.x,2.93127,115.872,922.791,False,105
20,Variable,2,8,8,8,32,./semi2k-party.x,2.89703,115.872,922.791,False,105
21,Variable,0,9,8,8,32,./semi2k-party.x,3.6705,132.426,1186.25,False,119
22,Variable,1,9,8,8,32,./semi2k-party.x,3.63936,132.426,1186.25,False,119
23,Variable,2,9,8,8,32,./semi2k-party.x,3.63628,132.426,1186.25,False,119
