,TestName,Repetition,# Players,# States,# Symbols,String Length,Virtual Machine,Time(s),Player-0 Data Sent(MB),Global Data Sent(MB),Result,Sum of Inputs
0,Test n=8,0,3,8,8,15,./semi2k-party.x,0.370401,16.6005,49.7077,False,59
1,Test n=8,1,3,8,8,15,./semi2k-party.x,0.348936,16.6005,49.7077,False,59
2,Test n=8,2,3,8,8,15,./semi2k-party.x,0.342345,16.6005,49.7077,False,59
3,Test n=12,0,3,12,8,15,./semi2k-party.x,0.425474,16.6355,49.7776,False,51
4,Test n=12,1,3,12,8,15,./semi2k-party.x,0.4282,16.6355,49.7776,False,51
5,Test n=12,2,3,12,8,15,./semi2k-party.x,0.450647,16.6355,49.7776,False,51
6,Test n=16,0,3,16,8,15,./semi2k-party.x,0.576998,24.8706,74.448,False,57
7,Test n=16,1,3,16,8,15,./semi2k-party.x,0.54461,24.8706,74.448,False,57
8,Test n=16,2,3,16,8,15,./semi2k-party.x,0.555719,24.8706,74.448,False,57
9,Test n=20,0,3,20,8,15,./semi2k-party.x,0.706706,33.1057,99.1185,False,47
10,Test n=20,1,3,20,8,15,./semi2k-party.x,0.688919,33.1057,99.1185,False,47
11,Test n=20,2,3,20,8,15,./semi2k-party.x,0.695707,33.1057,99.1185,False,47
12,Test n=24,0,3,24,8,15,./semi2k-party.x,0.77869,33.1407,99.1884,False,65
13,Test n=24,1,3,24,8,15,./semi2k-party.x,0.765509,33.1407,99.1884,False,65
14,Test n=24,2,3,24,8,15,./semi2k-party.x,0.763396,33.1407,99.1884,False,65
15,Test n=32,0,3,32,8,15,./semi2k-party.x,0.955604,41.4428,124.025,True,60
16,Test n=32,1,3,32,8,15,./semi2k-party.x,1.00087,41.4428,124.025,True,60
17,Test n=32,2,3,32,8,15,./semi2k-party.x,0.977316,41.4428,124.025,True,60
18,Test n=48,0,3,48,8,15,./semi2k-party.x,1.3933,58.0469,173.697,True,58
19,Test n=48,1,3,48,8,15,./semi2k-party.x,1.40375,58.0469,173.697,True,58
20,Test n=48,2,3,48,8,15,./semi2k-party.x,1.40152,58.0469,173.697,True,58
21,Test n=64,0,3,64,8,15,./semi2k-party.x,1.89104,82.8513,247.971,True,58
22,Test n=64,1,3,64,8,15,./semi2k-party.x,1.88425,82.8513,247.971,True,58
23,Test n=64,2,3,64,8,15,./semi2k-party.x,1.84045,82.8513,247.971,True,58
