,TestName,Repetition,# Players,# States,# Symbols,String Length,Virtual Machine,Time(s),Player-0 Data Sent(MB),Global Data Sent(MB),Result,Sum of Inputs
0,Variable String Lenght: m=10,0,3,8,8,10,./semi2k-party.x,0.203334,8.36926,25.0448,True,32
1,Variable String Lenght: m=10,1,3,8,8,10,./semi2k-party.x,0.212629,8.36926,25.0448,True,32
2,Variable String Lenght: m=10,2,3,8,8,10,./semi2k-party.x,0.232733,8.36926,25.0448,True,32
3,Variable String Lenght: m=20,0,3,8,8,20,./semi2k-party.x,0.382819,16.6316,49.7699,False,77
4,Variable String Lenght: m=20,1,3,8,8,20,./semi2k-party.x,0.382142,16.6316,49.7699,False,77
5,Variable String Lenght: m=20,2,3,8,8,20,./semi2k-party.x,0.371637,16.6316,49.7699,False,77
6,Variable String Lenght: m=30,0,3,8,8,30,./semi2k-party.x,0.555422,24.894,74.495,False,91
7,Variable String Lenght: m=30,1,3,8,8,30,./semi2k-party.x,0.583761,24.894,74.495,False,91
8,Variable String Lenght: m=30,2,3,8,8,30,./semi2k-party.x,0.576716,24.894,74.495,False,91
9,Variable String Lenght: m=40,0,3,8,8,40,./semi2k-party.x,0.739644,33.1564,99.22,True,140
10,Variable String Lenght: m=40,1,3,8,8,40,./semi2k-party.x,0.770023,33.1564,99.22,True,140
11,Variable String Lenght: m=40,2,3,8,8,40,./semi2k-party.x,0.746581,33.1564,99.22,True,140
12,Variable String Lenght: m=50,0,3,8,8,50,./semi2k-party.x,0.923162,41.4188,123.945,True,184
13,Variable String Lenght: m=50,1,3,8,8,50,./semi2k-party.x,0.960792,41.4188,123.945,True,184
14,Variable String Lenght: m=50,2,3,8,8,50,./semi2k-party.x,0.933735,41.4188,123.945,True,184
15,Variable String Lenght: m=60,0,3,8,8,60,./semi2k-party.x,1.11327,49.6811,148.67,False,205
16,Variable String Lenght: m=60,1,3,8,8,60,./semi2k-party.x,1.10872,49.6811,148.67,False,205
17,Variable String Lenght: m=60,2,3,8,8,60,./semi2k-party.x,1.10143,49.6811,148.67,False,205
18,Variable String Lenght: m=70,0,3,8,8,70,./semi2k-party.x,1.30098,57.9435,173.395,False,227
19,Variable String Lenght: m=70,1,3,8,8,70,./semi2k-party.x,1.28959,57.9435,173.395,False,227
20,Variable String Lenght: m=70,2,3,8,8,70,./semi2k-party.x,1.28413,57.9435,173.395,False,227
21,Variable String Lenght: m=80,0,3,8,8,80,./semi2k-party.x,1.51372,66.2059,198.12,True,250
22,Variable String Lenght: m=80,1,3,8,8,80,./semi2k-party.x,1.47549,66.2059,198.12,True,250
23,Variable String Lenght: m=80,2,3,8,8,80,./semi2k-party.x,1.47886,66.2059,198.12,True,250
